admin,GNI_2010_mil,CO2_2010,POP_2010,GNI_PC_2010,CO2_PC_2010,region_wb,r_value,g_value,b_value
Namibia,9530,3176,2178967,4370,1.4574,Sub-Saharan Africa,240,2,127
Niger,5818,1412,15893746,370,0.0888,Sub-Saharan Africa,240,2,127
Nigeria,198177,78910,159707780,1240,0.4941,Sub-Saharan Africa,240,2,127
Nicaragua,8329,4547,5822209,1430,0.781,Latin America & Caribbean,253,192,134
Netherlands,806276,182078,16615394,48530,10.9584,Europe & Central Asia,191,91,23
Norway,424656,57187,4889252,86850,11.6964,Europe & Central Asia,191,91,23
Nepal,14617,3755,26846016,540,0.1399,South Asia,190,174,212
New Zealand,125604,31551,4367800,28760,7.2235,East Asia & Pacific,56,108,176
Oman,53549,57202,2802768,19110,20.4089,Middle East & North Africa,127,201,127
Pakistan,184123,161396,173149306,1060,0.9321,South Asia,190,174,212
Panama,27684,9633,3678128,7530,2.6191,Latin America & Caribbean,253,192,134
Peru,138011,57579,29262830,4720,1.9677,Latin America & Caribbean,253,192,134
Philippines,192428,81591,93444322,2060,0.8731,East Asia & Pacific,56,108,176
Palau,176,216,20470,8590,10.5693,East Asia & Pacific,56,108,176
Papua New Guinea,8935,3135,6858945,1300,0.4571,East Asia & Pacific,56,108,176
Poland,473511,317254,38183683,12400,8.3086,Europe & Central Asia,191,91,23
Portugal,232654,52361,10637346,21870,4.9224,Europe & Central Asia,191,91,23
Paraguay,18191,5075,6459721,2820,0.7857,Latin America & Caribbean,253,192,134
Qatar,130081,70531,1749713,74340,40.3101,Middle East & North Africa,127,201,127
Romania,171778,78745,21438001,8010,3.6732,Europe & Central Asia,191,91,23
Russia,1423668,1740776,142389000,10000,12.2255,Europe & Central Asia,191,91,23
Rwanda,5565,594,10836732,510,0.0548,Sub-Saharan Africa,240,2,127
Saudi Arabia,527769,464481,27258387,19360,17.0399,Middle East & North Africa,127,201,127
Sudan,54815,7086,35652002,1200,0.3109,Sub-Saharan Africa,240,2,127
Senegal,13521,7059,12950564,1040,0.5451,Sub-Saharan Africa,240,2,127
Singapore,215919,13520,5076700,42530,2.6632,East Asia & Pacific,56,108,176
Solomon Islands,552,202,526447,1050,0.3831,East Asia & Pacific,56,108,176
Sierra Leone,2608,689,5751976,450,0.1199,Sub-Saharan Africa,240,2,127
El Salvador,20840,6249,6218195,3350,1.0049,Latin America & Caribbean,253,192,134
Somalia,959,609,9636173,150,0.0632,Sub-Saharan Africa,240,2,127
Republic of Serbia,40482,45962,7291436,5550,6.3036,Europe & Central Asia,191,91,23
Sao Tome and Principe,204,99,178228,1140,0.5555,Sub-Saharan Africa,240,2,127
Suriname,4069,2384,524960,7750,4.5404,Latin America & Caribbean,253,192,134
Slovakia,87022,36094,5430099,16030,6.6471,Europe & Central Asia,191,91,23
Slovenia,48973,15328,2048583,23910,7.4823,Europe & Central Asia,191,91,23
Sweden,476981,52515,9378126,50860,5.5997,Europe & Central Asia,191,91,23
Swaziland,3161,1023,1193148,2650,0.8575,Sub-Saharan Africa,240,2,127
Seychelles,922,704,89770,10270,7.843,Sub-Saharan Africa,240,2,127
Syria,56255,61859,21532647,2610,2.8728,Middle East & North Africa,127,201,127
Chad,8257,469,11720781,700,0.04,Sub-Saharan Africa,240,2,127
Togo,2893,1540,6306014,460,0.2442,Sub-Saharan Africa,240,2,127
Thailand,286740,295282,66402316,4320,4.4469,East Asia & Pacific,56,108,176
Tajikistan,5527,2860,7627326,720,0.375,Europe & Central Asia,191,91,23
Turkmenistan,20530,53054,5041995,4070,10.5225,Europe & Central Asia,191,91,23
East Timor,3205,183,1142502,2810,0.1605,East Asia & Pacific,56,108,176
Tonga,363,158,104098,3490,1.5147,East Asia & Pacific,56,108,176
Trinidad and Tobago,20895,50682,1328095,15730,38.1611,Latin America & Caribbean,253,192,134
Tunisia,43743,25878,10549100,4150,2.4531,Middle East & North Africa,127,201,127
Turkey,719658,298002,72137546,9980,4.131,Europe & Central Asia,191,91,23
United Republic of Tanzania,23057,6846,44973330,530,0.1522,Sub-Saharan Africa,240,2,127
Uganda,15608,3784,33987213,460,0.1113,Sub-Saharan Africa,240,2,127
Ukraine,137235,304805,45870700,2990,6.6449,Europe & Central Asia,191,91,23
Uruguay,34087,6645,3371982,10110,1.9705,Latin America & Caribbean,253,192,134
United States of America,15143680,5433057,309326225,48960,17.5642,North America,255,255,153
Uzbekistan,37264,104443,28562400,1300,3.6567,Europe & Central Asia,191,91,23
Saint Vincent and the Grenadines,655,209,109316,5990,1.9121,Latin America & Caribbean,253,192,134
Venezuela,334453,201747,29043283,11520,6.9464,Latin America & Caribbean,253,192,134
Vietnam,110302,150230,86932500,1270,1.7281,East Asia & Pacific,56,108,176
Vanuatu,639,117,236299,2700,0.4966,East Asia & Pacific,56,108,176
Samoa,528,161,186029,2840,0.8673,East Asia & Pacific,56,108,176
Yemen,27825,21852,22763008,1220,0.96,Middle East & North Africa,127,201,127
South Africa,304774,460124,49991300,6100,9.2041,Sub-Saharan Africa,240,2,127
Zambia,14313,2428,13216985,1080,0.1837,Sub-Saharan Africa,240,2,127
Zimbabwe,6197,9428,13076978,470,0.721,Sub-Saharan Africa,240,2,127
