id,elev,lat,lon
245,1066.72,-117.479043,34.288615
246,1067.22,-117.479092,34.288637
247,1071.7,-117.479261,34.288614
248,1074.01,-117.479517,34.288675
249,1083.52,-117.479956,34.288698
250,1087.82,-117.480519,34.28885
251,1088.53,-117.480651,34.288984
252,1090.53,-117.48072,34.289191
253,1091.06,-117.480932,34.289345
254,1090.74,-117.481062,34.289371
255,1089.74,-117.481168,34.289354
256,1089.83,-117.481657,34.289434
257,1100.63,-117.482424,34.289355
258,1097.33,-117.482724,34.289391
259,1094,-117.482896,34.289449
260,1088.15,-117.483396,34.289499
261,1087.79,-117.483504,34.289598
262,1087.15,-117.483635,34.289626
263,1087.95,-117.483811,34.289745
264,1086.39,-117.484072,34.289801
265,1081.96,-117.48442,34.289941
266,1081.72,-117.484574,34.290025
267,1083.08,-117.48464,34.290114
268,1088.74,-117.484727,34.290392
269,1090.26,-117.484786,34.290462
270,1090.21,-117.484846,34.290452
271,1085.96,-117.484956,34.290368
272,1093.74,-117.485161,34.290525
273,1094.98,-117.485247,34.290558
274,1092.88,-117.485365,34.29053
275,1094.98,-117.485517,34.290856
276,1092.43,-117.48568,34.291028
277,1091.44,-117.485716,34.291115
278,1089.07,-117.485947,34.29128
279,1086.97,-117.486019,34.291397
280,1081.55,-117.486179,34.291477
281,1083.12,-117.485997,34.291534
282,1083.71,-117.485885,34.291511
283,1084.7,-117.485728,34.291381
284,1083.19,-117.485612,34.291344
285,1081.03,-117.48557,34.291366
286,1081.65,-117.485659,34.291417
287,1071.77,-117.485707,34.291759
288,1069.78,-117.485818,34.291881
289,1073.32,-117.486042,34.29181
290,1057.45,-117.486331,34.291815
291,1072.66,-117.486455,34.291532
292,1073.15,-117.486497,34.291521
293,1072.05,-117.486561,34.291528
294,1058.28,-117.486781,34.291667
295,1056.32,-117.487519,34.291934
296,1052.3,-117.487838,34.291963
297,1051.1,-117.487987,34.292174
298,1050.76,-117.488142,34.292631
299,1050.08,-117.48836,34.292824
300,1051.04,-117.488471,34.292849
301,1057.33,-117.488592,34.293026
302,1062.29,-117.488739,34.293161
303,1062.77,-117.488787,34.29319
304,1069.65,-117.489054,34.293122
305,1074.71,-117.489182,34.293166
306,1075.58,-117.489362,34.293112
307,1072.76,-117.489442,34.293029
308,1071.63,-117.489472,34.293036
309,1072.36,-117.48945,34.293297
310,1065.08,-117.489549,34.293586
311,1064.27,-117.489494,34.29383
312,1067.53,-117.489512,34.293937
313,1072.94,-117.489847,34.294438
314,1075.09,-117.48999,34.294526
315,1075.44,-117.490145,34.294563
316,1074.18,-117.490278,34.294634
317,1066.83,-117.490346,34.294706
318,1063.41,-117.490306,34.294866
319,1062.1,-117.490357,34.29495
320,1067.47,-117.490319,34.295104
321,1069.72,-117.490334,34.29527
322,1064.17,-117.49042,34.29549
323,1065.22,-117.490495,34.295572
324,1068.81,-117.490467,34.295708
325,1074.53,-117.490578,34.295814
326,1073.16,-117.490727,34.295799
327,1063.99,-117.490956,34.295646
328,1062.79,-117.491246,34.295565
329,1071.59,-117.491428,34.295724
330,1071.36,-117.491659,34.295568
331,1080.78,-117.491841,34.295629
332,1075.37,-117.491967,34.295599
333,1072.74,-117.492098,34.295706
334,1073.93,-117.492208,34.295955
335,1072.17,-117.492303,34.296002
336,1073.21,-117.492406,34.296113
337,1073.55,-117.492594,34.296189
338,1074.82,-117.492834,34.296213
339,1072.81,-117.493013,34.296094
340,1073.12,-117.492969,34.295996
341,1078.34,-117.493088,34.295863
