elev,xcoord,ycoord,id,dist,dist_total
1839.26,-116.418472,32.839116,200,1149.827210071,133129.699855134
1781.96,-116.41899,32.850718,201,782.194782806,133911.89463794
1804.02,-116.417231,32.857613,202,782.194782806,134694.089420746
1824.4,-116.412644,32.86476,203,901.428701721,135595.518122467
1825.03,-116.416084,32.873521,204,1023.565596374,136619.083718841
1791.34,-116.420201,32.883997,205,951.136241279,137570.21996012
1817.31,-116.425484,32.891324,206,951.136241279,138521.356201399
1808.63,-116.432957,32.898007,207,712.692957123,139234.049158522
1747.14,-116.440191,32.895994,208,712.692957123,139946.742115645
1650.11,-116.447982,32.894885,209,739.254490113,140685.996605758
1647.51,-116.453577,32.900491,210,787.917060639,141473.913666397
1668.89,-116.454834,32.907516,211,787.917060639,142261.830727036
1654.33,-116.457769,32.918175,212,1213.57897076,143475.409697796
1681.43,-116.468118,32.926985,213,811.895126103,144287.304823899
1625.82,-116.475434,32.923045,214,811.895126103,145099.199950002
1644.82,-116.480926,32.930944,215,1015.515761868,146114.71571187
1666.73,-116.486996,32.944176,216,875.51432178,146990.23003365
1622.65,-116.495268,32.947874,217,748.015929535,147738.245963185
1587.01,-116.499774,32.953447,218,588.342073694,148326.588036879
1576.21,-116.504423,32.957022,219,588.342073694,148914.930110573
1499.16,-116.506833,32.964606,220,870.752092101,149785.682202674
1511.07,-116.514562,32.971633,221,810.100507296,150595.78270997
1535.26,-116.51899,32.977912,222,810.100507296,151405.883217266
1474.08,-116.525959,32.984607,223,987.74991578,152393.633133046
1467.12,-116.53076,32.994946,224,1151.565984314,153545.19911736
1438.57,-116.535467,33.004542,225,986.80287917,154532.00199653
1398.95,-116.536188,33.013419,226,676.392067309,155208.394063839
1204.01,-116.529242,33.011702,227,674.306801853,155882.700865692
1241.11,-116.522327,33.013441,228,674.306801853,156557.007667545
1268.15,-116.521528,33.021097,229,693.946694408,157250.954361953
1280.58,-116.51635,33.025583,230,693.946694408,157944.901056361
1241.66,-116.523225,33.035301,231,1109.729748549,159054.63080491
1156.74,-116.523759,33.045297,232,899.325549919,159953.956354829
1105.65,-116.520835,33.053023,233,656.172435656,160610.128790485
1046.06,-116.514042,33.054533,234,656.172435656,161266.301226141
971.68,-116.511225,33.061547,235,821.175012699,162087.47623884
965.43,-116.505566,33.067465,236,842.64956435,162930.12580319
999.83,-116.497093,33.065342,237,626.152488117,163556.278291307
919.25,-116.491259,33.068125,238,626.152488117,164182.430779424
928.71,-116.48208,33.066598,239,873.724478415,165056.155257839
856.17,-116.469908,33.068408,240,1154.235381342,166210.390639181
720.15,-116.469393,33.086338,241,1420.52121675,167630.911855931
689.24,-116.469501,33.099146,242,780.183682252,168411.095538183
764.85,-116.476144,33.103415,243,439.004756247,168850.10029443
865.75,-116.47352,33.1067,244,418.439546042,169268.539840472
915.96,-116.475665,33.110013,245,418.439546043,169686.979386515
917.18,-116.48143,33.109881,246,537.828406903,170224.807793418
940.91,-116.483317,33.114463,247,505.739221614,170730.547015032
933.16,-116.486932,33.11786,248,277.236297348,171007.78331238
957.22,-116.487855,33.120236,249,277.236297348,171285.019609728
975.92,-116.488398,33.1241,250,431.528978612,171716.54858834
992.55,-116.490949,33.127813,251,475.656290434,172192.204878774
1003.66,-116.496033,33.128769,252,486.130643492,172678.335522266
1002.24,-116.495402,33.136146,253,503.712113973,173182.047636239
996.77,-116.500349,33.137964,254,503.712113973,173685.759750212
1012.97,-116.507094,33.138282,255,630.345361496,174316.105111708
1001.96,-116.507457,33.145094,256,280.577550815,174596.682662523
1025.45,-116.509418,33.147012,257,280.577550815,174877.260213338
1095.32,-116.515077,33.148684,258,503.403662999,175380.663876337
1101.73,-116.520463,33.148957,259,503.403662999,175884.067539336
1097.15,-116.525968,33.151064,260,564.250985134,176448.31852447
1060.21,-116.531254,33.155246,261,676.985091313,177125.303615783
1054.91,-116.537644,33.159406,262,753.794455999,177879.098071782
1089,-116.543812,33.165325,263,652.82031484,178531.918386622
1130.85,-116.543381,33.1712,264,652.82031484,179184.738701462
1178.78,-116.549659,33.174306,265,261.1683038,179445.907005262
1230.91,-116.549832,33.178969,266,313.433512781,179759.340518043
1253.78,-116.551068,33.176341,267,261.1683038,180020.508821843
1306.53,-116.557845,33.180652,268,600.461067552,180620.969889395
1293.29,-116.561543,33.185084,269,600.461067552,181221.430956947
1344.11,-116.565664,33.192427,270,616.559788197,181837.990745144
1325.27,-116.561583,33.196801,271,616.559788197,182454.550533341
1286,-116.567719,33.198362,272,500.56174067,182955.112274011
1254.45,-116.573058,33.197891,273,520.179365343,183475.291639354
1230.97,-116.572277,33.202535,274,330.605635514,183805.897274868
1194.61,-116.571848,33.205494,275,330.605635514,184136.502910382
1147.18,-116.578621,33.207658,276,675.550777076,184812.053687458
1095.54,-116.583879,33.213175,277,784.028735413,185596.082422871
1046.57,-116.592401,33.219406,278,532.18395397,186128.266376841
1058.62,-116.588601,33.222987,279,532.18395397,186660.450330811
1048.57,-116.595711,33.225753,280,768.589198096,187429.039528907
1008.66,-116.598695,33.233485,281,901.523722709,188330.563251616
1031.57,-116.598794,33.244671,282,476.363378565,188806.926630181
1059.35,-116.601821,33.248132,283,476.363378565,189283.290008746
1065.87,-116.609059,33.253543,284,902.826586916,190186.116595662
1070.11,-116.618153,33.260566,285,642.231263205,190828.347858867
1053.85,-116.623024,33.264663,286,642.231263205,191470.579122072
978.3,-116.634357,33.266387,287,1047.781672041,192518.360794113
932.02,-116.643574,33.2718,288,233.21288488,192751.573678993
922.98,-116.645473,33.27317,289,233.21288488,192984.786563873
889.92,-116.656727,33.284012,290,1026.159124725,194010.945688598
908.13,-116.650761,33.29179,291,1026.159124725,195037.104813323
931.57,-116.637901,33.295726,292,714.884984011,195751.989797334
1011.2,-116.630546,33.297569,293,464.23940163,196216.229198964
1026.31,-116.629145,33.301586,294,464.239401631,196680.468600595
972.67,-116.630482,33.309584,295,823.26555279,197503.734153385
1018.87,-116.626727,33.316304,296,689.437171848,198193.171325233
1049.52,-116.622625,33.321479,297,445.630294174,198638.801619407
1134.04,-116.627041,33.323028,298,445.630294174,199084.431913581
1233.99,-116.63184,33.325976,299,553.682977949,199638.11489153
1240.78,-116.637704,33.327122,300,560.581474679,200198.696366209
1276.99,-116.637705,33.334337,301,723.282879414,200921.979245623
1350.29,-116.637363,33.340852,302,240.265831121,201162.245076744
1454.04,-116.635663,33.342482,303,240.265831121,201402.510907865
1490.77,-116.628804,33.341957,304,497.201147691,201899.712055556
1535.69,-116.627032,33.346186,305,497.201147691,202396.913203247
1571.17,-116.620886,33.345545,306,576.512350063,202973.42555331
1511.6,-116.613412,33.346441,307,565.265727044,203538.691280354
1545.31,-116.607904,33.348587,308,524.847981353,204063.539261707
1534.31,-116.609058,33.353219,309,524.847981353,204588.38724306
1533.19,-116.606745,33.359605,310,605.71943971,205194.10668277
1579.96,-116.604182,33.364625,311,605.71943971,205799.82612248
1584.2,-116.600027,33.369689,312,681.892475948,206481.718598428
1591.22,-116.596036,33.375562,313,462.220610142,206943.93920857
1556.69,-116.593577,33.379183,314,462.220610142,207406.159818712
1580.21,-116.597806,33.38302,315,579.615111245,207985.774929957
1631.42,-116.597885,33.38928,316,694.343947534,208680.118877491
1688.16,-116.601109,33.394753,317,533.894960571,209214.013838062
1716.23,-116.605074,33.398233,318,533.894960571,209747.908798633
1616.99,-116.608022,33.406487,319,679.421537398,210427.330336031
1475.06,-116.608546,33.412597,320,679.421537397,211106.751873428
1435.33,-116.606397,33.41915,321,570.528554409,211677.280427837
1425.69,-116.606567,33.424292,322,570.528554409,212247.808982246
1403.36,-116.602929,33.430168,323,679.755053103,212927.564035349
1296.12,-116.603453,33.436281,324,679.755053103,213607.319088452
1244.13,-116.606003,33.44293,325,306.052274887,213913.371363339
1207.33,-116.607429,33.445417,326,306.052274887,214219.423638226
1169.88,-116.606266,33.452822,327,574.247792696,214793.671430922
1094.85,-116.604847,33.457861,328,574.247792696,215367.919223618
1082.02,-116.595932,33.46154,329,438.44312122,215806.362344838
1108.17,-116.591852,33.463523,330,438.44312122,216244.805466058
1088.42,-116.587425,33.469412,331,771.996900669,217016.802366727
1092.64,-116.580087,33.475511,332,769.317256899,217786.119623626
1023.28,-116.573763,33.479986,333,445.792045351,218231.911668977
1111.37,-116.570181,33.482659,334,445.792045352,218677.703714329
1209.28,-116.567852,33.48871,335,512.269695307,219189.973409636
1262.84,-116.569754,33.493045,336,512.269695307,219702.243104943
1256.71,-116.568462,33.497921,337,553.980081215,220256.223186158
1274.97,-116.574596,33.503151,338,656.075328276,220912.298514434
1320.76,-116.579335,33.507536,339,537.844964913,221450.143479347
1333.8,-116.583188,33.511155,340,537.844964913,221987.98844426
1373.63,-116.587778,33.51682,341,593.789906072,222581.778350332
1428.95,-116.592104,33.520761,342,593.789906072,223175.568256404
1488.34,-116.592056,33.528066,343,591.712598939,223767.280855343
1438.87,-116.586207,33.530179,344,562.469282878,224329.750138221
1404.87,-116.586572,33.535241,345,436.06450461,224765.814642831
1476.35,-116.582906,33.537697,346,436.06450461,225201.879147441
1449.46,-116.579034,33.543387,347,627.783979217,225829.663126658
1490.25,-116.575688,33.548305,348,560.495642155,226390.158768813
1520.34,-116.579847,33.551967,349,560.495642155,226950.654410968
1532.73,-116.578812,33.559931,350,888.535775002,227839.19018597
1538.12,-116.575135,33.569133,351,311.120009092,228150.310195062
1507.76,-116.573499,33.571581,352,311.120009092,228461.430204154
1528.5,-116.571373,33.575478,353,475.171599919,228936.601804073
1560.07,-116.571686,33.581365,354,653.601672122,229590.203476195
1584.36,-116.570797,33.587517,355,395.37701251,229985.580488705
1543.7,-116.57199,33.590939,356,395.377012511,230380.957501216
1601.36,-116.569923,33.598017,357,808.161769976,231189.119271192
1668.26,-116.567356,33.605944,358,837.005657562,232026.124928754
1740.69,-116.565765,33.613372,359,837.005657562,232863.130586316
1864.23,-116.562685,33.626927,360,1128.799181115,233991.929767431
1941.72,-116.568342,33.635937,361,776.195363815,234768.125131246
