id,elev,lon,lat,dist,dist_total
2620,1633.29,-116.416809,32.815407,505.920849183,36203.93696486
2640,1680,-116.414597,32.819569,177.254447022,36381.191411882
2660,1715.64,-116.416359,32.820153,177.254447022,36558.445858904
2680,1752.61,-116.417149,32.823313,358.170803798,36916.616662702
2700,1800.41,-116.417329,32.828793,375.530284471,37292.146947173
2720,1808.21,-116.419551,32.831612,375.530284471,37667.677231644
2740,1836.62,-116.419056,32.83703,424.918059621,38092.595291265
2760,1832.05,-116.418494,32.840832,424.918059621,38517.513350886
2780,1821.89,-116.418384,32.846608,459.322921533,38976.836272419
2800,1781.96,-116.41899,32.850718,432.226552842,39409.062825261
2820,1766.61,-116.419495,32.854592,311.673917919,39720.73674318
2840,1793.76,-116.417316,32.856717,237.01372376,39957.75046694
2860,1814.93,-116.41567,32.858341,237.01372376,40194.7641907
2880,1843.05,-116.412504,32.860185,360.055518915,40554.819709615
2900,1824.4,-116.412644,32.86476,404.147030343,40958.966739958
2920,1817.92,-116.413379,32.868351,404.147030343,41363.113770301
2940,1829.51,-116.415381,32.871684,414.412679479,41777.52644978
2960,1820.99,-116.417439,32.875768,492.174327164,42269.700776944
2980,1801.6,-116.421737,32.879373,532.575361043,42802.276137987
3000,1791.34,-116.420201,32.883997,350.092349434,43152.368487421
3020,1803.84,-116.42263,32.886398,350.092349434,43502.460836855
3040,1798.99,-116.426056,32.888927,306.371255563,43808.832092418
3060,1826.48,-116.425992,32.891689,306.371255563,44115.203347981
3080,1813.05,-116.428416,32.895617,491.129837983,44606.333185964
3100,1808.63,-116.432957,32.898007,466.607300875,45072.940486839
3120,1779.21,-116.433968,32.893887,466.607300875,45539.547787714
3140,1740.21,-116.438243,32.89312,408.936425414,45948.484213128
3160,1720.11,-116.441759,32.897736,449.386355788,46397.870568916
3180,1677.51,-116.445828,32.895583,215.891141425,46613.761710341
3200,1650.11,-116.447982,32.894885,215.891141424,46829.652851765
3220,1653.59,-116.449976,32.898202,320.520174809,47150.173026574
3240,1652.25,-116.453278,32.898972,320.520174809,47470.693201383
3260,1631.95,-116.453687,32.902355,377.130093781,47847.823295164
