id,elev,lat,lon
441,789.85,-116.506985,32.608975
442,790.31,-116.507039,32.609062
443,792.28,-116.507178,32.609136
444,792.72,-116.50722,32.609234
445,794.63,-116.507197,32.609428
446,794.79,-116.507164,32.6095
447,793.17,-116.507034,32.609561
448,796.78,-116.507003,32.609763
449,798.32,-116.506793,32.610065
450,799.02,-116.506772,32.610155
451,799.17,-116.506742,32.610177
452,799.46,-116.506593,32.610172
453,801.18,-116.506505,32.610274
454,801.13,-116.50641,32.610531
455,802.82,-116.506422,32.610664
456,804.84,-116.506229,32.611046
457,806.65,-116.50626,32.611215
458,808.74,-116.506194,32.61142
459,810.64,-116.506234,32.611636
460,811.43,-116.506334,32.611851
461,810.99,-116.506385,32.61192
462,811.81,-116.506488,32.61196
463,815,-116.506543,32.612072
464,814.58,-116.506464,32.612147
465,815.37,-116.506437,32.612294
466,815.52,-116.506328,32.612444
467,816.71,-116.506292,32.612614
468,817.78,-116.506219,32.612714
469,817.27,-116.506231,32.612847
470,819.64,-116.506379,32.612879
471,820.19,-116.506396,32.612913
472,821.85,-116.506368,32.613066
473,823.39,-116.506209,32.613143
474,822.98,-116.506066,32.613297
475,825.5,-116.506096,32.613474
476,825.05,-116.506256,32.613437
477,825.87,-116.506491,32.613452
478,828.07,-116.506642,32.61341
479,828.67,-116.506832,32.613454
480,832.82,-116.507048,32.613402
481,833.94,-116.507128,32.613414
482,835.35,-116.507163,32.613486
483,836.13,-116.507126,32.613591
484,840.06,-116.507366,32.61388
485,844.07,-116.507555,32.614011
486,843.82,-116.507528,32.614069
487,844.73,-116.507543,32.614128
488,846.12,-116.507575,32.614143
489,850.91,-116.507648,32.614308
490,851,-116.507625,32.614371
491,854.46,-116.507694,32.61457
492,855.77,-116.507554,32.614722
493,857.78,-116.507468,32.615143
494,856.02,-116.507583,32.615214
495,860.74,-116.508097,32.615054
496,862.38,-116.508119,32.615106
497,860.23,-116.508057,32.615138
498,859.02,-116.50794,32.61528
499,858.64,-116.507777,32.615367
500,857.87,-116.507691,32.615449
501,856.75,-116.507487,32.615697
502,854.58,-116.507404,32.615857
503,853.33,-116.507464,32.616162
504,852.73,-116.50756,32.616289
505,852.52,-116.507654,32.616379
506,852.94,-116.507767,32.616398
507,853.09,-116.507814,32.616435
508,854.3,-116.507978,32.616645
509,853.7,-116.508035,32.616678
510,854.7,-116.508101,32.616666
511,855.55,-116.508136,32.616696
512,855.79,-116.508139,32.616813
513,855.29,-116.508075,32.616881
514,853.84,-116.507972,32.616911
515,853.67,-116.507955,32.61694
516,853.07,-116.507968,32.617023
517,853.88,-116.508048,32.617121
518,854.17,-116.508016,32.617381
519,851.38,-116.507827,32.617408
520,852.12,-116.507806,32.61744
521,852.62,-116.507881,32.617536
522,854.72,-116.508048,32.617621
523,852.25,-116.508024,32.617797
524,853.22,-116.508077,32.617891
525,853.69,-116.50807,32.617942
526,852.63,-116.507982,32.617963
527,853.81,-116.507935,32.618052
528,854.29,-116.507591,32.6181
529,853.74,-116.507513,32.618191
530,854.42,-116.507644,32.618323
531,856.91,-116.507789,32.618396
532,856.49,-116.507807,32.618479
533,856.68,-116.507907,32.618624
534,857.81,-116.507975,32.618704
535,858.96,-116.508093,32.618767
536,858.54,-116.508103,32.618806
537,859.22,-116.50804,32.618926
538,859.7,-116.507875,32.618922
539,861.72,-116.507771,32.619014
540,861.09,-116.507716,32.619011
541,860.49,-116.507654,32.619056
542,861.09,-116.507667,32.61913
543,862.22,-116.507743,32.619216
544,863.46,-116.507765,32.619311
545,863.41,-116.507739,32.619355
546,867.14,-116.508203,32.619867
547,869.14,-116.508019,32.620011
548,868.6,-116.507857,32.62004
549,868.7,-116.507778,32.620117
550,869.57,-116.507677,32.620313
551,870.64,-116.507693,32.620443
552,873.15,-116.507776,32.620551
553,872.87,-116.507713,32.62064
554,874.22,-116.507735,32.620725
555,873.85,-116.507693,32.620837
556,874.21,-116.507727,32.620886
557,873.38,-116.507629,32.620927
558,872.41,-116.507577,32.620897
559,872.71,-116.507466,32.620954
560,871.05,-116.507292,32.62086
561,870.88,-116.507241,32.620868
562,870.81,-116.506918,32.621057
563,870.95,-116.506837,32.621275
564,869.99,-116.506849,32.621368
565,869.05,-116.506908,32.621442
566,868.14,-116.507144,32.621593
567,869.75,-116.507228,32.621617
568,870.57,-116.507272,32.621656
569,868.2,-116.507279,32.621738
570,874.32,-116.507513,32.621808
571,871.68,-116.507579,32.621958
572,871.54,-116.507666,32.621983
573,874.45,-116.507823,32.621934
574,874.58,-116.507898,32.621974
575,873.38,-116.507913,32.622097
576,873.14,-116.507981,32.62225
