DBA,BORO,ZIPCODE,CUISINECODE,INSPDATE,ACTION,VIOLCODE,SCORE,CURRENTGRADE
BURGOS RESTAURANT,1,10040,53,2014-01-27 00:00:00,U,02B,24,Z
ISTANBUL KEBAB HOUSE,1,10019,54,2014-01-27 00:00:00,D,06F,10,A
ISTANBUL KEBAB HOUSE,1,10019,54,2014-01-27 00:00:00,D,10F,10,A
MOLLOY'S IRISH PUB,1,10019,47,2014-01-27 00:00:00,F,06D,35,Z
FLOR DE SOL,1,10011,77,2014-01-27 00:00:00,F,04H,43,Z
FLOR DE SOL,1,10011,77,2014-01-27 00:00:00,F,10H,43,Z
CHOW SUPERB CHINESE FOOD,4,11361,20,2014-01-27 00:00:00,D,02B,12,A
HUNTER COLLEGE,1,10065,3,2014-01-27 00:00:00,D,04N,10,A
HUNTER COLLEGE,1,10065,3,2014-01-27 00:00:00,D,08A,10,A
BEST LUNCHEONETTE,3,11214,3,2014-01-27 00:00:00,D,02G,10,A
MCHALE'S BAR & GRILL,1,10019,47,2014-01-27 00:00:00,D,10F,9,A
16 HANDLES,1,10016,43,2014-01-27 00:00:00,D,06D,9,A
The Bread Factory,1,10019,3,2014-01-27 00:00:00,D,06E,12,A
AR RESTAURANT & CATERING,4,11434,17,2014-01-27 00:00:00,U,10F,18,Z
FOREST HILLS DINER,4,11375,3,2014-01-27 00:00:00,D,04H,13,A
TIA MELLI'S LATIN KITCHEN,1,10039,53,2014-01-27 00:00:00,D,08A,9,A
INAKA,3,11209,5,2014-01-27 00:00:00,D,10F,8,A
SWEET SPOT,4,11105,3,2014-01-27 00:00:00,D,10B,4,A
MI TIERRA COFFEE SHOP,4,11377,77,2014-01-27 00:00:00,D,05H,10,A
DUE FRATELLI PIZZERIA,4,11375,62,2014-01-27 00:00:00,U,06D,22,Z
RHONG-TIAM EXPRESS,1,10011,82,2014-01-27 00:00:00,O,10F,5,Z
MAISON KAYSER,1,10019,8,2014-01-27 00:00:00,D,10B,12,A
KISS MY SLICE,1,10013,62,2014-01-27 00:00:00,D,02B,8,A
HUNGRY GHOST COFFEE BAR AT FULTON,3,11217,14,2014-01-27 00:00:00,B,,0,A
E.J LUNCHEONETTE,1,10021,3,2014-01-27 00:00:00,P,10F,16,
CANDLE CAFE,1,10021,84,2014-01-27 00:00:00,P,06D,12,
YANKEE JZ PIZZA,2,10472,62,2014-01-27 00:00:00,P,10J,22,
YANKEE JZ PIZZA,2,10472,62,2014-01-27 00:00:00,P,04M,22,
YANKEE JZ PIZZA,2,10472,62,2014-01-27 00:00:00,P,06F,22,
YANKEE JZ PIZZA,2,10472,62,2014-01-27 00:00:00,P,08A,22,
SAL AND CARMINE PIZZA,1,10025,62,2014-01-27 00:00:00,P,04L,24,
YANKEE JZ PIZZA,2,10472,62,2014-01-27 00:00:00,P,10F,22,
DE ROBERTIS PASTRY SHOP,1,10009,8,2014-01-27 00:00:00,P,04H,25,
DE ROBERTIS PASTRY SHOP,1,10009,8,2014-01-27 00:00:00,P,04M,25,
DE ROBERTIS PASTRY SHOP,1,10009,8,2014-01-27 00:00:00,P,08A,25,
SAL AND CARMINE PIZZA,1,10025,62,2014-01-27 00:00:00,P,04N,24,
SAL AND CARMINE PIZZA,1,10025,62,2014-01-27 00:00:00,P,06D,24,
SAL AND CARMINE PIZZA,1,10025,62,2014-01-27 00:00:00,P,08A,24,
E.J LUNCHEONETTE,1,10021,3,2014-01-27 00:00:00,P,06D,16,
E.J LUNCHEONETTE,1,10021,3,2014-01-27 00:00:00,P,08B,16,
QUALITY MEATS,1,10019,78,2014-01-27 00:00:00,F,02H,40,
DE ROBERTIS PASTRY SHOP,1,10009,8,2014-01-27 00:00:00,P,10F,25,
E.J LUNCHEONETTE,1,10021,3,2014-01-27 00:00:00,P,10B,16,
SAL AND CARMINE PIZZA,1,10025,62,2014-01-27 00:00:00,P,02G,24,
MILLION DELI,1,10028,3,2014-01-27 00:00:00,F,10F,29,
BURGER KING,1,10027,39,2014-01-27 00:00:00,P,02G,14,
BEN'S DELI,1,10018,27,2014-01-27 00:00:00,P,02B,23,
QUALITY MEATS,1,10019,78,2014-01-27 00:00:00,F,08A,40,
QUALITY MEATS,1,10019,78,2014-01-27 00:00:00,F,08B,40,
BEN'S DELI,1,10018,27,2014-01-27 00:00:00,P,08A,23,
QUALITY MEATS,1,10019,78,2014-01-27 00:00:00,F,02B,40,
QUALITY MEATS,1,10019,78,2014-01-27 00:00:00,F,06C,40,
BEN'S DELI,1,10018,27,2014-01-27 00:00:00,P,04N,23,
MILLION DELI,1,10028,3,2014-01-27 00:00:00,F,02G,29,
MILLION DELI,1,10028,3,2014-01-27 00:00:00,F,06D,29,
MILLION DELI,1,10028,3,2014-01-27 00:00:00,F,04L,29,
QUALITY MEATS,1,10019,78,2014-01-27 00:00:00,F,04L,40,
QUALITY MEATS,1,10019,78,2014-01-27 00:00:00,F,10F,40,
BEN'S DELI,1,10018,27,2014-01-27 00:00:00,P,06D,23,
HALE & HEARTY SOUPS,3,11201,75,2014-01-27 00:00:00,F,06C,12,
HALE & HEARTY SOUPS,3,11201,75,2014-01-27 00:00:00,F,10B,12,
FIVE POINTS,1,10012,3,2014-01-27 00:00:00,F,02G,30,
WENDY'S,1,10019,3,2014-01-27 00:00:00,F,08A,13,
HALE & HEARTY SOUPS,3,11201,75,2014-01-27 00:00:00,F,10F,12,
FIVE POINTS,1,10012,3,2014-01-27 00:00:00,F,04L,30,
MILLION DELI,1,10028,3,2014-01-27 00:00:00,F,08C,29,
MILLION DELI,1,10028,3,2014-01-27 00:00:00,F,08A,29,
CAFE BONJOUR,1,10016,3,2014-01-27 00:00:00,P,10D,15,
BURGER KING,1,10027,39,2014-01-27 00:00:00,P,04L,14,
FIVE POINTS,1,10012,3,2014-01-27 00:00:00,F,08A,30,
FIVE POINTS,1,10012,3,2014-01-27 00:00:00,F,04J,30,
WENDY'S,1,10019,3,2014-01-27 00:00:00,F,10F,13,
KO SUSHI,1,10021,49,2014-01-27 00:00:00,F,04N,31,
KO SUSHI,1,10021,49,2014-01-27 00:00:00,F,10F,31,
CONNECTICUT MUFFIN,3,11205,8,2014-01-27 00:00:00,F,04M,34,
CONNECTICUT MUFFIN,3,11205,8,2014-01-27 00:00:00,F,08A,34,
MCDONALD'S,1,10018,39,2014-01-27 00:00:00,P,10A,23,
WENDY'S,1,10019,3,2014-01-27 00:00:00,F,04L,13,
CAFE BONJOUR,1,10016,3,2014-01-27 00:00:00,P,02B,15,
JAMBA JUICE,1,10028,51,2014-01-27 00:00:00,P,09C,18,
JAMBA JUICE,1,10028,51,2014-01-27 00:00:00,P,10F,18,
KO SUSHI,1,10021,49,2014-01-27 00:00:00,F,04H,31,
KO SUSHI,1,10021,49,2014-01-27 00:00:00,F,06D,31,
KO SUSHI,1,10021,49,2014-01-27 00:00:00,F,08A,31,
GREEN CAFE,1,10019,3,2014-01-27 00:00:00,F,10F,8,
MCDONALD'S,1,10018,39,2014-01-27 00:00:00,P,02G,23,
CONNECTICUT MUFFIN,3,11205,8,2014-01-27 00:00:00,F,04D,34,
CONNECTICUT MUFFIN,3,11205,8,2014-01-27 00:00:00,F,10F,34,
MR. WEDGE,2,10474,3,2014-01-27 00:00:00,P,04H,17,
MR. WEDGE,2,10474,3,2014-01-27 00:00:00,P,04A,17,
MCDONALD'S,1,10018,39,2014-01-27 00:00:00,P,10F,23,
KO SUSHI,1,10021,49,2014-01-27 00:00:00,F,10B,31,
MCDONALD'S,1,10018,39,2014-01-27 00:00:00,P,04J,23,
K-BAP,1,10019,52,2014-01-27 00:00:00,F,08A,28,
CORNER TAVERNA,4,11105,38,2014-01-27 00:00:00,P,10B,15,
GREEN CAFE,1,10019,3,2014-01-27 00:00:00,F,02G,8,
JAMBA JUICE,1,10028,51,2014-01-27 00:00:00,P,10C,18,
K-BAP,1,10019,52,2014-01-27 00:00:00,F,02G,28,
JAMBA JUICE,1,10028,51,2014-01-27 00:00:00,P,04M,18,
JAMBA JUICE,1,10028,51,2014-01-27 00:00:00,P,08A,18,
JAMBA JUICE,1,10028,51,2014-01-27 00:00:00,P,10B,18,
GREEN CAFE,1,10019,3,2014-01-27 00:00:00,F,10A,8,
GREEN CAFE,1,10019,3,2014-01-27 00:00:00,F,04L,8,
MACCHIATO ESPRESSO BAR,1,10017,3,2014-01-27 00:00:00,P,04H,16,
CORNER TAVERNA,4,11105,38,2014-01-27 00:00:00,P,06D,15,
CORNER TAVERNA,4,11105,38,2014-01-27 00:00:00,P,04L,15,
CHARLEY MOM KITCHEN,1,10028,20,2014-01-27 00:00:00,P,04C,22,
GRANT CA,3,11208,3,2014-01-27 00:00:00,E,16B,,
CHARLEY MOM KITCHEN,1,10028,20,2014-01-27 00:00:00,P,04L,22,
SUKI SUSHI,3,11215,49,2014-01-27 00:00:00,G,08C,93,
SUKI SUSHI,3,11215,49,2014-01-27 00:00:00,G,10F,93,
K-BAP,1,10019,52,2014-01-27 00:00:00,F,04M,28,
SUKI SUSHI,3,11215,49,2014-01-27 00:00:00,G,02G,93,
SUKI SUSHI,3,11215,49,2014-01-27 00:00:00,G,08A,93,
SUKI SUSHI,3,11215,49,2014-01-27 00:00:00,G,09B,93,
K-BAP,1,10019,52,2014-01-27 00:00:00,F,02B,28,
K-BAP,1,10019,52,2014-01-27 00:00:00,F,10A,28,
TROPICAL SENSATION,1,10025,53,2014-01-27 00:00:00,P,09C,13,
NEW KEE HING CHINESE RESTAURANT,2,10473,20,2014-01-27 00:00:00,F,06A,16,
MACCHIATO ESPRESSO BAR,1,10017,3,2014-01-27 00:00:00,P,02G,16,
MACCHIATO ESPRESSO BAR,1,10017,3,2014-01-27 00:00:00,P,10F,16,
JUST LORRAINE'S PLACE,1,10027,3,2014-01-27 00:00:00,P,06E,20,
PRESIDENTIAL PIZZA RESTAURANT,1,10027,62,2014-01-27 00:00:00,P,04L,21,
WALDORF ASTORIA BANQUET KITCHEN,1,10022,3,2014-01-27 00:00:00,F,04N,41,
WALDORF ASTORIA BANQUET KITCHEN,1,10022,3,2014-01-27 00:00:00,F,10F,41,
CHARLEY MOM KITCHEN,1,10028,20,2014-01-27 00:00:00,P,10B,22,
SUKI SUSHI,3,11215,49,2014-01-27 00:00:00,G,06C,93,
CHARLEY MOM KITCHEN,1,10028,20,2014-01-27 00:00:00,P,08A,22,
SUKI SUSHI,3,11215,49,2014-01-27 00:00:00,G,10D,93,
WALDORF ASTORIA BANQUET KITCHEN,1,10022,3,2014-01-27 00:00:00,F,02B,41,
SUKI SUSHI,3,11215,49,2014-01-27 00:00:00,G,04K,93,
SUKI SUSHI,3,11215,49,2014-01-27 00:00:00,G,10I,93,
SUKI SUSHI,3,11215,49,2014-01-27 00:00:00,G,02B,93,
PICNIC ON 57TH,3,11203,3,2014-01-27 00:00:00,P,02B,25,
WALDORF ASTORIA BANQUET KITCHEN,1,10022,3,2014-01-27 00:00:00,F,08A,41,
NEW KEE HING CHINESE RESTAURANT,2,10473,20,2014-01-27 00:00:00,F,04L,16,
TROPICAL SENSATION,1,10025,53,2014-01-27 00:00:00,P,06E,13,
TROPICAL SENSATION,1,10025,53,2014-01-27 00:00:00,P,04K,13,
PICNIC ON 57TH,3,11203,3,2014-01-27 00:00:00,P,06F,25,
NEW KEE HING CHINESE RESTAURANT,2,10473,20,2014-01-27 00:00:00,F,08A,16,
BRAD'S CAFE,1,10027,3,2014-01-27 00:00:00,P,04A,25,
BRAD'S CAFE,1,10027,3,2014-01-27 00:00:00,P,06D,25,
BELLA VITA,1,10019,62,2014-01-27 00:00:00,P,10F,26,
BELLA VITA,1,10019,62,2014-01-27 00:00:00,P,02G,26,
PRESIDENTIAL PIZZA RESTAURANT,1,10027,62,2014-01-27 00:00:00,P,02G,21,
PRESIDENTIAL PIZZA RESTAURANT,1,10027,62,2014-01-27 00:00:00,P,08A,21,
JUST LORRAINE'S PLACE,1,10027,3,2014-01-27 00:00:00,P,04N,20,
JUST LORRAINE'S PLACE,1,10027,3,2014-01-27 00:00:00,P,08A,20,
JUST LORRAINE'S PLACE,1,10027,3,2014-01-27 00:00:00,P,06C,20,
THE PIG & WHISTLE PUB,1,10018,3,2014-01-27 00:00:00,P,02G,23,
THE PIG & WHISTLE PUB,1,10018,3,2014-01-27 00:00:00,P,06D,23,
GINA LA FORNARINA,1,10023,48,2014-01-27 00:00:00,P,10F,13,
CHECKERS,1,10027,39,2014-01-27 00:00:00,F,08A,54,
CHECKERS,1,10027,39,2014-01-27 00:00:00,F,10D,54,
CHECKERS,1,10027,39,2014-01-27 00:00:00,F,10E,54,
WOLFGANG'S STEAKHOUSE,1,10022,78,2014-01-27 00:00:00,G,04L,35,
WOLFGANG'S STEAKHOUSE,1,10022,78,2014-01-27 00:00:00,G,04N,35,
WOLFGANG'S STEAKHOUSE,1,10022,78,2014-01-27 00:00:00,G,08C,35,
THE PIG & WHISTLE PUB,1,10018,3,2014-01-27 00:00:00,P,04H,23,
LEGEND 55,1,10022,22,2014-01-27 00:00:00,F,08A,41,
DINO,3,11205,48,2014-01-27 00:00:00,F,04L,39,
LEGEND 55,1,10022,22,2014-01-27 00:00:00,F,02G,41,
LEGEND 55,1,10022,22,2014-01-27 00:00:00,F,06D,41,
DINO,3,11205,48,2014-01-27 00:00:00,F,04H,39,
MANCHESTER PUB,1,10017,3,2014-01-27 00:00:00,F,04H,21,
MANCHESTER PUB,1,10017,3,2014-01-27 00:00:00,F,06D,21,
WALDORF ASTORIA BANQUET KITCHEN,1,10022,3,2014-01-27 00:00:00,F,05D,41,
ISLAND BURGER,3,11203,39,2014-01-27 00:00:00,P,04L,19,
MANCHESTER PUB,1,10017,3,2014-01-27 00:00:00,F,04K,21,
WALDORF ASTORIA BANQUET KITCHEN,1,10022,3,2014-01-27 00:00:00,F,04L,41,
WALDORF ASTORIA BANQUET KITCHEN,1,10022,3,2014-01-27 00:00:00,F,06B,41,
WALDORF ASTORIA BANQUET KITCHEN,1,10022,3,2014-01-27 00:00:00,F,10A,41,
PICNIC ON 57TH,3,11203,3,2014-01-27 00:00:00,P,02G,25,
ATLANTIC GRILL WEST,1,10023,3,2014-01-27 00:00:00,P,10F,25,
PICNIC ON 57TH,3,11203,3,2014-01-27 00:00:00,P,10F,25,
VILLAGE 38,1,10018,3,2014-01-27 00:00:00,F,06A,36,
VILLAGE 38,1,10018,3,2014-01-27 00:00:00,F,08A,36,
VENEZIA RISTORANTE & PIZZA,2,10469,63,2014-01-27 00:00:00,P,06C,20,
VENEZIA RISTORANTE & PIZZA,2,10469,63,2014-01-27 00:00:00,P,10B,20,
ATLANTIC GRILL WEST,1,10023,3,2014-01-27 00:00:00,P,05D,25,
ATLANTIC GRILL WEST,1,10023,3,2014-01-27 00:00:00,P,06F,25,
VENEZIA RISTORANTE & PIZZA,2,10469,63,2014-01-27 00:00:00,P,04A,20,
VENEZIA RISTORANTE & PIZZA,2,10469,63,2014-01-27 00:00:00,P,10I,20,
NEW STAR SEAFOOD RESTAURANT,3,11229,20,2014-01-27 00:00:00,G,04M,73,
NEW STAR SEAFOOD RESTAURANT,3,11229,20,2014-01-27 00:00:00,G,10F,73,
ABA TURKISH RESTAURANT,1,10019,83,2014-01-27 00:00:00,P,10B,14,
NEW STAR SEAFOOD RESTAURANT,3,11229,20,2014-01-27 00:00:00,G,02B,73,
NEW STAR SEAFOOD RESTAURANT,3,11229,20,2014-01-27 00:00:00,G,04L,73,
VILLAGE 38,1,10018,3,2014-01-27 00:00:00,F,04N,36,
VILLAGE 38,1,10018,3,2014-01-27 00:00:00,F,06D,36,
BRAD'S CAFE,1,10027,3,2014-01-27 00:00:00,P,04L,25,
ABA TURKISH RESTAURANT,1,10019,83,2014-01-27 00:00:00,P,02G,14,
ABA TURKISH RESTAURANT,1,10019,83,2014-01-27 00:00:00,P,06D,14,
BRAD'S CAFE,1,10027,3,2014-01-27 00:00:00,P,08A,25,
BELLA VITA,1,10019,62,2014-01-27 00:00:00,P,02B,26,
ROBERT,1,10019,3,2014-01-27 00:00:00,P,02G,18,
ROBERT,1,10019,3,2014-01-27 00:00:00,P,04J,18,
GINA LA FORNARINA,1,10023,48,2014-01-27 00:00:00,P,06E,13,
CHECKERS,1,10027,39,2014-01-27 00:00:00,F,04K,54,
CHECKERS,1,10027,39,2014-01-27 00:00:00,F,06C,54,
GINA LA FORNARINA,1,10023,48,2014-01-27 00:00:00,P,06C,13,
THE PIG & WHISTLE PUB,1,10018,3,2014-01-27 00:00:00,P,09A,23,
CHECKERS,1,10027,39,2014-01-27 00:00:00,F,02D,54,
CHECKERS,1,10027,39,2014-01-27 00:00:00,F,02G,54,
WOLFGANG'S STEAKHOUSE,1,10022,78,2014-01-27 00:00:00,G,08A,35,
CHECKERS,1,10027,39,2014-01-27 00:00:00,F,04A,54,
CHECKERS,1,10027,39,2014-01-27 00:00:00,F,04O,54,
TABATA NOODLE RESTAURANT,1,10018,5,2014-01-27 00:00:00,F,04H,30,
TABATA NOODLE RESTAURANT,1,10018,5,2014-01-27 00:00:00,F,08A,30,
THAT SUSHI SPOT,3,11210,49,2014-01-27 00:00:00,B,,,
DINO,3,11205,48,2014-01-27 00:00:00,F,06C,39,
DINO,3,11205,48,2014-01-27 00:00:00,F,06D,39,
DINO,3,11205,48,2014-01-27 00:00:00,F,10F,39,
LEGEND 55,1,10022,22,2014-01-27 00:00:00,F,04L,41,
LEGEND 55,1,10022,22,2014-01-27 00:00:00,F,06A,41,
LEGEND 55,1,10022,22,2014-01-27 00:00:00,F,02B,41,
ISLAND BURGER,3,11203,39,2014-01-27 00:00:00,P,04H,19,
ISLAND BURGER,3,11203,39,2014-01-27 00:00:00,P,08A,19,
CAFE 47,1,10023,3,2014-01-27 00:00:00,P,10F,10,
ATLANTIC GRILL WEST,1,10023,3,2014-01-27 00:00:00,P,02B,25,
VILLAGE 38,1,10018,3,2014-01-27 00:00:00,F,10B,36,
BEER AUTHORITY,1,10018,3,2014-01-27 00:00:00,P,08A,27,
BEER AUTHORITY,1,10018,3,2014-01-27 00:00:00,P,04J,27,
VILLAGE 38,1,10018,3,2014-01-27 00:00:00,F,02G,36,
VILLAGE 38,1,10018,3,2014-01-27 00:00:00,F,09C,36,
HOWARD BEACH BAGEL CAFE,4,11414,27,2014-01-27 00:00:00,F,06F,45,
KENNEDY'S CHICKEN AND PIZZA,2,10467,3,2014-01-27 00:00:00,F,02G,24,
KENNEDY'S CHICKEN AND PIZZA,2,10467,3,2014-01-27 00:00:00,F,06F,24,
BEER AUTHORITY,1,10018,3,2014-01-27 00:00:00,P,02G,27,
NEW STAR SEAFOOD RESTAURANT,3,11229,20,2014-01-27 00:00:00,G,04H,73,
NEW STAR SEAFOOD RESTAURANT,3,11229,20,2014-01-27 00:00:00,G,06C,73,
NEW STAR SEAFOOD RESTAURANT,3,11229,20,2014-01-27 00:00:00,G,06D,73,
KAVA CAFE,1,10014,14,2014-01-27 00:00:00,P,02G,12,
KAVA CAFE,1,10014,14,2014-01-27 00:00:00,P,10F,12,
HOWARD BEACH BAGEL CAFE,4,11414,27,2014-01-27 00:00:00,F,09C,45,
ALEX CAFE & DELI,1,10021,3,2014-01-27 00:00:00,F,09C,45,
ALEX CAFE & DELI,1,10021,3,2014-01-27 00:00:00,F,04L,45,
HAPPY WOK 88,4,11692,20,2014-01-27 00:00:00,F,08A,25,
HAPPY WOK 88,4,11692,20,2014-01-27 00:00:00,F,02G,25,
PICK-A-BAGEL/PIZZA BOLLA,1,10023,3,2014-01-27 00:00:00,P,09C,18,
PICK-A-BAGEL/PIZZA BOLLA,1,10023,3,2014-01-27 00:00:00,P,10F,18,
ALEX CAFE & DELI,1,10021,3,2014-01-27 00:00:00,F,06D,45,
HUNAN CHEN'S KITCHEN,1,10025,20,2014-01-27 00:00:00,P,02H,21,
HUNAN CHEN'S KITCHEN,1,10025,20,2014-01-27 00:00:00,P,09B,21,
BETTER BEING,1,10018,3,2014-01-27 00:00:00,P,06A,10,
BCD TOFU HOUSE,1,10001,52,2014-01-27 00:00:00,F,16C,,
PICK-A-BAGEL/PIZZA BOLLA,1,10023,3,2014-01-27 00:00:00,P,06E,18,
PICK-A-BAGEL/PIZZA BOLLA,1,10023,3,2014-01-27 00:00:00,P,09B,18,
JADE GARDEN,1,10032,20,2014-01-27 00:00:00,P,02G,27,
PIE PIE Q CAFE,1,10013,20,2014-01-27 00:00:00,F,06E,26,
TACOMBI AT FONDA NOLITA,1,10012,55,2014-01-27 00:00:00,P,04N,14,
ayan famous pizza & chicken,4,11433,3,2014-01-27 00:00:00,G,10B,49,
The Local NYC,4,11101,3,2014-01-27 00:00:00,D,04J,16,
The Local NYC,4,11101,3,2014-01-27 00:00:00,D,10J,16,
Alquimia,1,10018,54,2014-01-27 00:00:00,P,10B,16,
Alquimia,1,10018,54,2014-01-27 00:00:00,P,06D,16,
LITTLE LAMB SKYVIEW INC.,4,11354,20,2014-01-27 00:00:00,D,10B,6,
NEW XIANG XING HOUSE,4,11411,20,2014-01-27 00:00:00,P,06E,10,
LITTLE LAMB SKYVIEW INC.,4,11354,20,2014-01-27 00:00:00,D,10H,6,
DUNKIN DONUTS,1,10032,29,2014-01-27 00:00:00,P,08A,7,
BUSY CORNER DELI,3,11205,3,2014-01-27 00:00:00,P,06C,21,
SWEET STOP CAFFE,1,10128,14,2014-01-27 00:00:00,E,05E,28,
BRONX CHICKEN & PIZZA INC,2,10457,3,2014-01-27 00:00:00,D,04J,16,
PIE PIE Q CAFE,1,10013,20,2014-01-27 00:00:00,F,10F,26,
WEST CARIBBEAN INTERNATIONAL RESTAURANT,3,11213,17,2014-01-27 00:00:00,D,10A,15,
EL PATRON,3,11205,77,2014-01-27 00:00:00,D,06C,10,
BRONX CHICKEN & PIZZA INC,2,10457,3,2014-01-27 00:00:00,D,10J,16,
ayan famous pizza & chicken,4,11433,3,2014-01-27 00:00:00,G,10F,49,
The Local NYC,4,11101,3,2014-01-27 00:00:00,D,10F,16,
NEW XIANG XING HOUSE,4,11411,20,2014-01-27 00:00:00,P,06A,10,
STAR HOOKAH,4,11103,56,2014-01-27 00:00:00,D,04J,17,
WEST CARIBBEAN INTERNATIONAL RESTAURANT,3,11213,17,2014-01-27 00:00:00,D,04J,15,
SUNSET LOUNGE,4,11103,3,2014-01-27 00:00:00,E,05F,38,
TABATA NOODLE RESTAURANT,1,10018,5,2014-01-27 00:00:00,F,04L,30,
TABATA NOODLE RESTAURANT,1,10018,5,2014-01-27 00:00:00,F,10D,30,
CAFE 47,1,10023,3,2014-01-27 00:00:00,P,02B,10,
KENNEDY'S CHICKEN AND PIZZA,2,10467,3,2014-01-27 00:00:00,F,08A,24,
BEER AUTHORITY,1,10018,3,2014-01-27 00:00:00,P,04M,27,
KENNEDY'S CHICKEN AND PIZZA,2,10467,3,2014-01-27 00:00:00,F,04L,24,
CHINA TOP,2,10469,20,2014-01-27 00:00:00,P,06F,9,
CHINA TOP,2,10469,20,2014-01-27 00:00:00,P,08A,9,
BEER AUTHORITY,1,10018,3,2014-01-27 00:00:00,P,04L,27,
HOWARD BEACH BAGEL CAFE,4,11414,27,2014-01-27 00:00:00,F,10F,45,
HOWARD BEACH BAGEL CAFE,4,11414,27,2014-01-27 00:00:00,F,02G,45,
HOWARD BEACH BAGEL CAFE,4,11414,27,2014-01-27 00:00:00,F,05D,45,
KARE THAI,1,10019,82,2014-01-27 00:00:00,P,02G,25,
ALEX CAFE & DELI,1,10021,3,2014-01-27 00:00:00,F,04N,45,
ALEX CAFE & DELI,1,10021,3,2014-01-27 00:00:00,F,08A,45,
KARE THAI,1,10019,82,2014-01-27 00:00:00,P,06E,25,
KARE THAI,1,10019,82,2014-01-27 00:00:00,P,10F,25,
NEW RED LANTERN,3,11219,20,2014-01-27 00:00:00,O,10F,8,P
CHECKERS,3,11203,69,2014-01-27 00:00:00,P,04N,12,
CHECKERS,3,11203,69,2014-01-27 00:00:00,P,08A,12,
NEW RED LANTERN,3,11219,20,2014-01-27 00:00:00,O,10D,8,P
HAPPY WOK 88,4,11692,20,2014-01-27 00:00:00,F,02B,25,
BETTER BEING,1,10018,3,2014-01-27 00:00:00,P,04N,10,
HAPPY WOK 88,4,11692,20,2014-01-27 00:00:00,F,04L,25,
DUNKIN DONUTS,3,10028,29,2014-01-27 00:00:00,F,16B,,
PICK-A-BAGEL/PIZZA BOLLA,1,10023,3,2014-01-27 00:00:00,P,06D,18,
HUNAN CHEN'S KITCHEN,1,10025,20,2014-01-27 00:00:00,P,04M,21,
HUNAN CHEN'S KITCHEN,1,10025,20,2014-01-27 00:00:00,P,10F,21,
ayan famous pizza & chicken,4,11433,3,2014-01-27 00:00:00,G,05D,49,
ayan famous pizza & chicken,4,11433,3,2014-01-27 00:00:00,G,10E,49,
JADE GARDEN,1,10032,20,2014-01-27 00:00:00,P,02B,27,
JADE GARDEN,1,10032,20,2014-01-27 00:00:00,P,09B,27,
YUMMY TACO,3,11238,55,2014-01-27 00:00:00,F,05C,44,
TONY'S PIZZA,3,11218,62,2014-01-27 00:00:00,P,02B,14,
Alquimia,1,10018,54,2014-01-27 00:00:00,P,04L,16,
PIE PIE Q CAFE,1,10013,20,2014-01-27 00:00:00,F,02B,26,
PIE PIE Q CAFE,1,10013,20,2014-01-27 00:00:00,F,05D,26,
LUNITAS,3,11238,14,2014-01-27 00:00:00,P,10F,14,
TACOMBI AT FONDA NOLITA,1,10012,55,2014-01-27 00:00:00,P,02H,14,
ayan famous pizza & chicken,4,11433,3,2014-01-27 00:00:00,G,04L,49,
ayan famous pizza & chicken,4,11433,3,2014-01-27 00:00:00,G,08A,49,
RELLENO CORP,1,10033,99,2014-01-27 00:00:00,D,04J,15,
RELLENO CORP,1,10033,99,2014-01-27 00:00:00,D,10J,15,
NOOK RESTAURANT,2,10463,53,2014-01-27 00:00:00,D,10F,2,
BRONX CHICKEN & PIZZA INC,2,10457,3,2014-01-27 00:00:00,D,10A,16,
STAR HOOKAH,4,11103,56,2014-01-27 00:00:00,D,10F,17,
WEST CARIBBEAN INTERNATIONAL RESTAURANT,3,11213,17,2014-01-27 00:00:00,D,10D,15,
The Local NYC,4,11101,3,2014-01-27 00:00:00,D,10B,16,
YUMMY TACO,3,11238,55,2014-01-27 00:00:00,F,10E,44,
SUNSET LOUNGE,4,11103,3,2014-01-27 00:00:00,E,04J,38,
YUMMY TACO,3,11238,55,2014-01-27 00:00:00,F,05D,44,
YUMMY TACO,3,11238,55,2014-01-27 00:00:00,F,06A,44,
The Local NYC,4,11101,3,2014-01-27 00:00:00,D,10H,16,
YUMMY TACO,3,11238,55,2014-01-27 00:00:00,F,10F,44,
G's RESTAURANT & BAR,4,11422,17,2014-01-27 00:00:00,P,02B,13,
LUNITAS,3,11238,14,2014-01-27 00:00:00,P,04A,14,
LITTLE LAMB SKYVIEW INC.,4,11354,20,2014-01-27 00:00:00,D,10F,6,
G's RESTAURANT & BAR,4,11422,17,2014-01-27 00:00:00,P,06A,13,
BUSY CORNER DELI,3,11205,3,2014-01-27 00:00:00,P,10F,21,
DUNKIN DONUTS,1,10032,29,2014-01-27 00:00:00,P,04L,7,
RELLENO CORP,1,10033,99,2014-01-27 00:00:00,D,10H,15,
STAR HOOKAH,4,11103,56,2014-01-27 00:00:00,D,10B,17,
BROOKLYN PIGGIES,1,10009,3,2014-01-27 00:00:00,D,10D,4,
WEST CARIBBEAN INTERNATIONAL RESTAURANT,3,11213,17,2014-01-27 00:00:00,D,10H,15,
EL PATRON,3,11205,77,2014-01-27 00:00:00,D,10F,10,
BRONX CHICKEN & PIZZA INC,2,10457,3,2014-01-27 00:00:00,D,10H,16,
BROOKLYN PIGGIES,1,10009,3,2014-01-27 00:00:00,D,10B,4,
BUSY CORNER DELI,3,11205,3,2014-01-27 00:00:00,P,06F,21,
